frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
17,1.724668,-1.938007,0.713669,-0.095913,-0.011082,0.987793,-0.122238,-0.767279,0.238522,-0.276422,1.313027,-0.196774,-0.2618,-0.866828,-0.416603,0.218769,0.917302,-0.229316,0.2618,-0.251588,-0.356159,0.514137,-0.345815,-2.1948,-0.202242,-0.52193,-0.340778,0.215507,-2.1948,0.123098,0.0
18,1.755832,-1.953857,0.725835,-0.104322,-0.022438,0.985306,-0.133362,-0.796534,0.229611,-0.223503,1.252727,-0.214767,-0.260514,-0.856197,-0.437746,0.159303,0.795114,-0.081566,0.2618,-0.278692,-0.366624,0.577467,-0.343549,-2.1948,-0.182197,-0.495425,-0.325855,0.191546,-2.1948,0.124989,0.0
19,1.792783,-1.994183,0.746229,-0.112836,-0.028081,0.98274,-0.143881,-0.784049,0.169998,-0.164211,1.170718,-0.260479,-0.215887,-0.806691,-0.485666,0.092556,0.571192,0.237388,0.2618,-0.300843,-0.38861,0.630891,-0.337852,-2.1948,-0.160196,-0.486426,-0.327387,0.170446,-2.1948,0.122103,0.0
20,1.828824,-2.035143,0.762821,-0.120024,-0.034979,0.982133,-0.140661,-0.763657,0.110101,-0.12746,1.090827,-0.295149,-0.175667,-0.776895,-0.51284,-0.05934,0.395777,0.482117,0.2618,-0.283379,-0.43753,0.687667,-0.333915,-2.1948,-0.150014,-0.505112,-0.344404,0.162944,-2.1948,0.125588,0.0
21,1.860587,-2.057096,0.772279,-0.130301,-0.03971,0.98278,-0.124854,-0.779622,0.095405,-0.058339,1.039367,-0.29074,-0.11662,-0.838454,-0.473514,-0.090854,0.463393,0.447938,0.2618,-0.220018,-0.528665,0.728665,-0.339636,-2.1948,-0.142387,-0.551785,-0.389578,0.167928,-2.1948,0.148508,0.0
22,1.880709,-2.092729,0.775177,-0.140573,-0.031153,0.981643,-0.125079,-0.778055,0.038371,0.033754,1.004228,-0.280037,-0.02455,-0.913178,-0.439133,0.03787,0.663674,0.294292,0.2618,-0.169938,-0.613975,0.730663,-0.336432,-2.1948,-0.11256,-0.586085,-0.462461,0.186126,-2.1948,0.158807,0.0
23,1.903116,-2.122723,0.782172,-0.15162,-0.02031,0.979039,-0.134468,-0.793961,-0.04359,0.063621,0.96298,-0.198984,0.020726,-0.948691,-0.39223,0.075408,0.857719,0.096988,0.238204,-0.129227,-0.688303,0.703981,-0.338478,-2.1948,-0.094516,-0.604456,-0.549973,0.207862,-2.1948,0.154276,0.0
24,1.929012,-2.147449,0.794577,-0.163957,-0.016918,0.975791,-0.143746,-0.848217,-0.10453,0.056881,0.941481,-0.054456,-0.031573,-0.941311,-0.341663,-0.01361,0.988195,-0.025354,0.251322,-0.092137,-0.745465,0.677058,-0.339771,-2.1948,-0.095826,-0.61962,-0.62221,0.226506,-2.1948,0.159659,0.0
25,1.960224,-2.172673,0.808265,-0.177559,-0.017416,0.971872,-0.153735,-0.92601,-0.163181,-0.006269,0.931689,0.103062,-0.261761,-0.916742,-0.287135,-0.134986,1.059228,-0.080662,0.2618,-0.060469,-0.795014,0.642244,-0.340913,-2.1948,-0.102544,-0.627028,-0.683909,0.232788,-2.1948,0.160028,0.0
26,2.007591,-2.233015,0.810326,-0.184848,-0.019017,0.967815,-0.169716,-0.960511,-0.205393,0.000567,0.898098,0.169165,-0.2618,-0.935251,-0.25393,-0.131513,1.130811,-0.064976,0.2618,-0.053856,-0.826844,0.608482,-0.338286,-2.1948,-0.104189,-0.63184,-0.731849,0.236361,-2.1948,0.151564,0.0
27,2.032291,-2.256339,0.812829,-0.190558,-0.015884,0.965245,-0.178149,-0.970126,-0.215225,-0.10581,0.883364,0.052601,-0.2618,-0.911695,-0.160358,-0.12556,1.149184,-0.071485,0.2618,-0.015303,-0.855709,0.532957,-0.328547,-2.1948,-0.11786,-0.617731,-0.804762,0.214404,-2.1948,0.156964,0.0
28,2.054062,-2.269746,0.807628,-0.197044,-0.01357,0.963704,-0.179624,-1.005421,-0.11332,-0.118418,0.925315,-0.040831,-0.2618,-0.892597,-0.061944,-0.120872,1.117991,-0.02288,0.2618,0.030207,-0.867973,0.453236,-0.308598,-2.1948,-0.147283,-0.609201,-0.853697,0.195607,-2.1948,0.172929,0.0
29,2.070762,-2.31337,0.795648,-0.198472,-0.008945,0.964136,-0.175987,-0.998122,-0.020534,-0.12915,0.98592,-0.157124,-0.2618,-0.851177,-0.016019,-0.081526,1.04707,-0.010892,0.257226,0.060579,-0.837938,0.383318,-0.28323,-2.1948,-0.179284,-0.595963,-0.864043,0.185546,-2.1948,0.181296,0.0
30,2.086491,-2.329411,0.772974,-0.195575,-0.011647,0.968924,-0.150998,-1.006934,0.166613,-0.146513,1.053061,-0.227339,-0.261633,-0.807255,-0.028291,-0.174562,1.024986,-0.238858,0.011969,0.115436,-0.778027,0.352395,-0.252367,-2.1948,-0.175955,-0.577381,-0.834775,0.195187,-2.1948,0.183151,0.0
31,2.102561,-2.356879,0.749697,-0.190474,-0.010524,0.973088,-0.129261,-0.975645,0.325281,-0.158111,1.073098,-0.224086,-0.150051,-0.823152,-0.044433,-0.129876,1.075682,-0.419845,0.008455,0.151364,-0.685164,0.339666,-0.23199,-2.1948,-0.179544,-0.538534,-0.794931,0.21649,-2.1948,0.18973,0.0
32,2.113203,-2.384617,0.724519,-0.187879,-0.01054,0.975739,-0.111912,-0.914564,0.459801,-0.180344,1.038629,-0.197491,-0.089524,-0.884327,-0.058797,-0.048922,1.180584,-0.522765,0.054464,0.169546,-0.564828,0.339917,-0.22374,-2.1948,-0.184004,-0.486405,-0.751319,0.243696,-2.1948,0.218832,0.0
33,2.123319,-2.412349,0.70121,-0.187025,-0.013979,0.976544,-0.105776,-0.838218,0.577732,-0.182738,0.946348,-0.169967,-0.071894,-0.954056,-0.095442,-0.014444,1.284395,-0.576055,0.092492,0.164887,-0.41331,0.344348,-0.225107,-2.1948,-0.185756,-0.413974,-0.700766,0.265362,-2.1948,0.252352,0.0
34,2.137729,-2.439513,0.682622,-0.189796,-0.0195,0.975093,-0.113099,-0.793758,0.663137,-0.183548,0.833065,-0.088275,-0.029584,-1.019408,-0.140079,0.011416,1.354492,-0.610081,0.138323,0.142875,-0.253222,0.334849,-0.226681,-2.191516,-0.226645,-0.325347,-0.64427,0.260461,-2.1948,0.258355,0.0
35,2.154455,-2.468778,0.667943,-0.190002,-0.028635,0.973648,-0.122832,-0.755003,0.717975,-0.19134,0.728025,0.05876,-0.025935,-1.055547,-0.183492,0.028961,1.382028,-0.64614,0.189053,0.131214,-0.117022,0.313156,-0.235843,-2.158553,-0.285169,-0.23787,-0.584833,0.247046,-2.1948,0.258022,0.0
36,2.187163,-2.525447,0.668741,-0.193802,-0.034021,0.969518,-0.146008,-0.713136,0.688111,-0.192715,0.655938,-0.018275,-0.2618,-1.101552,-0.272086,0.080652,1.340353,-0.582206,0.2618,0.104064,-0.006779,0.290994,-0.252572,-2.122687,-0.272084,-0.167817,-0.531497,0.229933,-2.1948,0.237474,0.0
37,2.22045,-2.577592,0.671574,-0.197363,-0.043036,0.9649,-0.16782,-0.726065,0.626047,-0.21568,0.655493,-0.201514,-0.2618,-1.132666,-0.33888,0.123759,1.276787,-0.486173,0.2618,0.087513,0.082854,0.281682,-0.262369,-2.087818,-0.270328,-0.11257,-0.480633,0.213506,-2.1948,0.218354,0.0
38,2.250559,-2.611809,0.6674,-0.212536,-0.054803,0.956976,-0.189793,-0.901553,0.537461,-0.352581,0.783883,-0.364332,-0.2618,-1.192987,-0.390643,0.137315,1.238872,-0.41143,0.2618,0.075028,0.137062,0.267837,-0.271023,-2.056745,-0.306469,-0.072996,-0.43479,0.203603,-2.1948,0.231151,0.0
39,2.265596,-2.650953,0.665126,-0.21042,-0.065688,0.948445,-0.227729,-1.017377,0.450424,-0.424511,0.915444,-0.47331,-0.2618,-1.131914,-0.470919,0.102059,1.175076,-0.384022,0.2618,0.046238,0.177111,0.314103,-0.27383,-2.042887,-0.319292,-0.015269,-0.40354,0.187845,-2.191186,0.226795,0.0
40,2.282948,-2.691863,0.665343,-0.220658,-0.076804,0.936065,-0.263046,-1.103842,0.336165,-0.490855,1.009914,-0.55086,-0.2618,-1.100272,-0.539908,0.064785,1.108448,-0.328539,0.2618,0.032296,0.173283,0.359861,-0.28657,-2.04051,-0.335677,0.017951,-0.377153,0.181132,-2.161922,0.234819,0.0
41,2.309892,-2.726526,0.664405,-0.245202,-0.093137,0.917931,-0.297663,-1.228301,0.186289,-0.558574,1.113671,-0.59953,-0.2618,-1.141936,-0.598083,0.018602,1.066067,-0.242351,0.131442,0.027409,0.122406,0.399039,-0.297058,-2.040666,-0.393735,0.015056,-0.349846,0.179636,-2.12055,0.267595,0.0
42,2.328457,-2.752853,0.666866,-0.262405,-0.108032,0.904582,-0.318127,-1.295714,0.09045,-0.582647,1.165889,-0.617513,-0.2618,-1.167781,-0.610154,-0.028312,1.036853,-0.195608,-0.141457,0.046482,0.060104,0.444076,-0.280932,-2.042094,-0.471814,0.013661,-0.342121,0.183869,-2.099496,0.271157,0.0
43,2.334253,-2.772816,0.676655,-0.269327,-0.118536,0.897182,-0.329357,-1.2966,0.058678,-0.580504,1.149664,-0.615965,-0.2618,-1.146927,-0.545488,-0.002862,1.034908,-0.222596,-0.117569,0.078227,0.00467,0.480467,-0.250909,-2.042013,-0.503236,0.015279,-0.35205,0.18646,-2.100242,0.255503,0.0
44,2.344963,-2.787402,0.683722,-0.279252,-0.132777,0.892523,-0.328315,-1.324049,0.039019,-0.580399,1.14775,-0.612547,-0.2618,-1.176274,-0.484585,-0.029292,1.078954,-0.261815,-0.135826,0.120319,-0.048359,0.484595,-0.214605,-2.028046,-0.502675,0.011695,-0.364859,0.190213,-2.112303,0.254213,0.0
45,2.353379,-2.7969,0.68881,-0.290336,-0.145921,0.89028,-0.319083,-1.357966,0.035827,-0.576908,1.148456,-0.606501,-0.2618,-1.229715,-0.4251,-0.073532,1.153881,-0.28608,-0.14117,0.156679,-0.104744,0.47613,-0.173035,-2.004366,-0.496834,0.004528,-0.377201,0.193532,-2.121017,0.257369,0.0
46,2.35972,-2.80392,0.691714,-0.301256,-0.155413,0.8887,-0.308713,-1.389845,0.037043,-0.568327,1.151308,-0.603191,-0.2618,-1.287572,-0.361345,-0.097648,1.233151,-0.294602,-0.083732,0.178172,-0.161571,0.466189,-0.145465,-1.97879,-0.519647,0.001475,-0.389116,0.19368,-2.123439,0.254988,0.0
47,2.363233,-2.812219,0.692512,-0.309905,-0.16072,0.887562,-0.300602,-1.409048,0.036548,-0.556334,1.158802,-0.610358,-0.2618,-1.340854,-0.297475,-0.091639,1.301294,-0.283903,-0.000585,0.183125,-0.211433,0.454803,-0.143156,-1.961288,-0.55736,0.003373,-0.402611,0.192492,-2.124578,0.25229,0.0
48,2.364156,-2.822379,0.692385,-0.316277,-0.16208,0.888453,-0.290431,-1.412351,0.04042,-0.535679,1.16895,-0.627588,-0.2618,-1.389312,-0.246569,-0.078995,1.348965,-0.282191,0.041934,0.176578,-0.244156,0.440337,-0.158284,-1.952528,-0.586333,0.006843,-0.420472,0.193905,-2.128525,0.249974,0.0
49,2.361704,-2.831738,0.691876,-0.321465,-0.161388,0.890962,-0.27713,-1.405528,0.053343,-0.510731,1.177038,-0.649479,-0.2618,-1.434651,-0.210804,-0.078344,1.374511,-0.292919,0.046985,0.156095,-0.251699,0.43228,-0.181025,-1.959921,-0.592892,0.00729,-0.437383,0.198221,-2.141997,0.244926,0.0
50,2.355649,-2.838906,0.690599,-0.326855,-0.158839,0.89425,-0.26125,-1.39207,0.074077,-0.482526,1.180804,-0.673379,-0.2618,-1.482821,-0.177217,-0.080818,1.380285,-0.303303,0.050134,0.121399,-0.233749,0.443197,-0.207322,-1.989462,-0.550006,0.001897,-0.449358,0.205158,-2.162755,0.240838,0.0
51,2.344525,-2.845071,0.69164,-0.327538,-0.151294,0.901005,-0.24087,-1.344728,0.115116,-0.434912,1.162293,-0.6807,-0.2618,-1.516258,-0.138916,-0.080957,1.357582,-0.305945,0.058583,0.082821,-0.181385,0.476175,-0.22484,-2.040938,-0.46896,0.006199,-0.464293,0.214347,-2.189684,0.223259,0.0
52,2.333343,-2.848941,0.6907,-0.329288,-0.144506,0.907655,-0.216447,-1.305686,0.158597,-0.384534,1.153055,-0.6807,-0.2618,-1.561385,-0.10766,-0.103092,1.322779,-0.303684,0.056302,0.047402,-0.118441,0.521773,-0.236782,-2.114039,-0.432822,-0.011572,-0.467748,0.226263,-2.1948,0.20663,0.0
53,2.318739,-2.852943,0.688891,-0.32628,-0.135527,0.916544,-0.187408,-1.241509,0.21494,-0.31772,1.139893,-0.6807,-0.2618,-1.5957,-0.08911,-0.145891,1.275234,-0.289371,0.04699,0.016147,-0.022887,0.579721,-0.238294,-2.194538,-0.376996,-0.024032,-0.467345,0.23818,-2.1948,0.18452,0.0
54,2.306244,-2.854005,0.682536,-0.326165,-0.123997,0.92298,-0.162326,-1.194968,0.251486,-0.257157,1.14842,-0.6807,-0.2618,-1.656635,-0.083705,-0.188587,1.229027,-0.257964,0.045012,-0.026997,0.026492,0.625485,-0.268219,-2.1948,-0.31169,-0.043195,-0.459685,0.248539,-2.1948,0.166889,0.0
55,2.288476,-2.856945,0.676331,-0.318334,-0.106958,0.931747,-0.138098,-1.099278,0.289564,-0.170145,1.141263,-0.6807,-0.2618,-1.699727,-0.085803,-0.211634,1.167836,-0.219863,0.035092,-0.068431,0.068699,0.646502,-0.291822,-2.1948,-0.294367,-0.043598,-0.45387,0.253786,-2.1948,0.149602,0.0
56,2.269195,-2.859038,0.669384,-0.309535,-0.082328,0.939322,-0.122818,-0.979141,0.296271,-0.078827,1.115243,-0.6807,-0.2618,-1.746654,-0.115443,-0.226131,1.097983,-0.172085,0.001515,-0.12437,0.03796,0.619619,-0.314127,-2.1948,-0.279252,-0.037259,-0.451742,0.249342,-2.1948,0.141738,0.0
57,2.246843,-2.861359,0.663969,-0.296291,-0.047811,0.946896,-0.115386,-0.820024,0.267753,0.020981,1.055265,-0.6807,-0.2618,-1.783572,-0.16886,-0.225583,1.019358,-0.141101,-0.031294,-0.19196,-0.102254,0.570599,-0.323492,-2.1948,-0.2372,-0.010232,-0.455578,0.232818,-2.1948,0.138791,0.0
58,2.220336,-2.865546,0.662843,-0.273678,-0.006344,0.954831,-0.115573,-0.614247,0.204595,0.118854,0.942225,-0.6807,-0.2618,-1.799802,-0.238443,-0.194804,0.94111,-0.144865,-0.069373,-0.266139,-0.326669,0.53819,-0.310823,-2.1948,-0.192018,0.047117,-0.467645,0.19975,-2.1948,0.14857,0.0
59,2.191928,-2.867947,0.662297,-0.251122,0.027014,0.960578,-0.116178,-0.427836,0.144278,0.18371,0.821491,-0.6807,-0.2618,-1.800809,-0.305039,-0.178502,0.879973,-0.157032,-0.137053,-0.331659,-0.589671,0.56057,-0.281508,-2.1948,-0.15023,0.091016,-0.474186,0.161596,-2.1948,0.160866,0.0
60,2.158773,-2.869795,0.661567,-0.224705,0.052702,0.966283,-0.11414,-0.247473,0.096141,0.225329,0.713383,-0.6807,-0.2618,-1.768261,-0.374053,-0.190719,0.850643,-0.197976,-0.213829,-0.39733,-0.825908,0.625077,-0.244153,-2.1948,-0.086733,0.11055,-0.497787,0.131297,-2.1948,0.149635,0.0
61,2.11774,-2.864775,0.665044,-0.200627,0.076197,0.970874,-0.106521,-0.090837,0.05957,0.249276,0.621769,-0.558522,-0.2618,-1.702256,-0.427152,-0.218537,0.852272,-0.228477,-0.261129,-0.470683,-1.002196,0.731614,-0.223944,-2.186598,-0.007356,0.090801,-0.550499,0.119417,-2.1948,0.141705,0.0
62,2.069287,-2.85832,0.676903,-0.170819,0.097048,0.976096,-0.092943,0.054792,0.029149,0.271602,0.542385,-0.307006,-0.2618,-1.633547,-0.441158,-0.147077,0.888102,-0.099275,-0.2618,-0.551077,-1.159026,0.807823,-0.267125,-2.021833,-0.011476,0.064048,-0.628126,0.126632,-2.1948,0.084292,0.0
63,2.015674,-2.840224,0.683595,-0.130439,0.113202,0.982463,-0.070263,0.168334,0.020205,0.270693,0.531844,0.006523,-0.239091,-1.566484,-0.414518,-0.029371,1.001272,-0.056909,-0.2618,-0.627449,-1.18385,0.871506,-0.213033,-1.796358,-0.084831,0.042319,-0.718321,0.161471,-2.160418,0.03428,0.0
64,1.96536,-2.815509,0.687983,-0.091533,0.136042,0.98607,-0.027945,0.245153,-0.014291,0.26459,0.559759,0.312707,-0.190657,-1.493251,-0.397705,0.031617,1.11932,-0.129499,-0.261312,-0.672536,-1.1374,1.016543,-0.085171,-1.416867,0.023012,-0.008487,-0.82054,0.211497,-2.029519,0.071518,0.0
65,1.902956,-2.797025,0.691731,-0.050504,0.150012,0.98736,0.008097,0.307713,-0.044052,0.250559,0.617709,0.525507,-0.141497,-1.387887,-0.414357,0.076798,1.242588,-0.252583,-0.204588,-0.682552,-1.284151,0.932298,-0.281597,-0.917176,0.182484,0.018314,-0.923472,0.200903,-1.95814,0.144089,0.0
66,1.844871,-2.790328,0.692314,-0.049516,0.153283,0.98534,0.056192,0.243121,-0.111924,0.181184,0.742303,0.443227,-0.076635,-1.342701,-0.383165,0.112732,1.319327,-0.349805,-0.1458,-0.622364,-1.454587,0.766803,-0.421571,-0.895294,-0.065366,-0.036969,-0.88534,0.173976,-1.9577,0.148823,0.0
67,1.789849,-2.785481,0.69274,-0.053898,0.166961,0.979321,0.100744,0.136396,-0.188282,0.138388,0.88339,0.240942,-0.136881,-1.33783,-0.361429,0.18431,1.384031,-0.41634,-0.092454,-0.606913,-1.319559,0.871106,-0.353853,-1.346938,-0.073477,-0.119483,-0.833341,0.188517,-2.021429,0.051596,0.0
68,1.736688,-2.77714,0.689861,-0.069947,0.167707,0.973597,0.138169,-0.03945,-0.163124,0.162188,1.075499,0.088625,-0.164397,-1.329632,-0.339395,0.206921,1.439072,-0.472094,-0.047059,-0.639023,-1.019515,1.06524,-0.19609,-1.829258,0.051216,-0.174157,-0.775281,0.247168,-2.151365,0.072599,0.0
69,1.689626,-2.773726,0.690725,-0.092185,0.161566,0.966885,0.174733,-0.254106,-0.083858,0.188329,1.254315,-0.063529,-0.123831,-1.310217,-0.317276,0.201029,1.448171,-0.506117,-0.010682,-0.603305,-0.946003,1.071869,-0.262916,-2.077368,-0.094853,-0.221117,-0.722805,0.268192,-2.194735,0.111964,0.0
70,1.645266,-2.772533,0.690657,-0.110271,0.154111,0.957777,0.216224,-0.472712,0.010975,0.17767,1.383774,-0.192071,-0.068266,-1.286722,-0.282696,0.211187,1.448909,-0.523331,0.024026,-0.538406,-0.891465,1.053118,-0.337,-2.1948,-0.158921,-0.260636,-0.684371,0.279953,-2.1948,0.088761,0.0
71,1.599494,-2.773517,0.69147,-0.120901,0.144311,0.947762,0.257495,-0.672241,0.105367,0.124776,1.436408,-0.295528,-0.032082,-1.243843,-0.251334,0.233701,1.437592,-0.526357,0.065953,-0.473204,-0.819866,1.00103,-0.371849,-2.1948,-0.13311,-0.291735,-0.661476,0.302821,-2.1948,0.087445,0.0
72,1.550341,-2.776138,0.69327,-0.129267,0.136048,0.937237,0.293885,-0.854066,0.181523,0.042833,1.408839,-0.346633,-0.013529,-1.194911,-0.236417,0.268374,1.410651,-0.527117,0.116945,-0.393511,-0.792286,0.928554,-0.381609,-2.1948,-0.149692,-0.31995,-0.653831,0.306843,-2.1948,0.102151,0.0
73,1.499987,-2.779751,0.696207,-0.13328,0.129103,0.92786,0.323487,-1.00047,0.235491,-0.046999,1.303024,-0.343429,-0.016017,-1.132838,-0.245146,0.303904,1.363039,-0.526916,0.173097,-0.312747,-0.791321,0.845597,-0.375579,-2.1948,-0.145236,-0.345084,-0.649586,0.297105,-2.1948,0.085918,0.0
74,1.449323,-2.784221,0.700918,-0.131886,0.124478,0.920601,0.345839,-1.090087,0.239373,-0.155897,1.13546,-0.252162,-0.072113,-1.054982,-0.284003,0.329662,1.288472,-0.524428,0.228381,-0.24769,-0.797061,0.773394,-0.371438,-2.1948,-0.11759,-0.3764,-0.648383,0.292118,-2.1948,0.077292,0.0
